Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
RabbitDesc,progression,attribute,,,For Tools Only: \nAttack Rate UP 30% \nRounds Per Minute 30% \nStamina usage Per Swing -15%,,,,,
GreyhoundDesc,progression,attribute,,,For Tools Only: \nAttack Rate UP 40% \nRounds Per Minute 40% \nStamina usage Per Swing -20%,,,,,
CheetahDesc,progression,attribute,,,For Tools Only: \nAttack Rate UP 50% \nRounds Per Minute 50% \nStamina usage Per Swing -25%,,,,,

DescRunForestRun,progression,attribute,,,Train your body into moving faster.\nRun forest run.,,,,,
HikerDesc,progression,attribute,,,Increases movement speed by 10%. \nStamina usage -5%.,,,,,
JoggerDesc,progression,attribute,,,Increases movement speed by 15%. \nStamina usage -10%.,,,,,
RunningManDesc,progression,attribute,,,Increases movement speed by 20%. \nStamina usage -15%.,,,,,
MarathonManDesc,progression,attribute,,,Increases movement speed by 25%. \nStamina usage -20%.,,,,,
TriathleteDesc,progression,attribute,,,Increases movement speed by 30%. \nStamina usage -25%.,,,,,

DescCraftingTier,progression,attribute,,,After studying your equipment for countless of hours\nyou have found a way to upgrade your \ngear. items and weapons.,,,,,

modGunAntiPersonnel,,items,Item,New,Anti-Personnel Ammo Modifier,,,,,
modGunAntiPersonnelDesc,,items,Item,New,"Changes Ammo to Anti-Personnel\nDoes More 20% More Damage to Flesh and No damage to Blockes.\nAlso Reduces Recoil",,,,,

modEngine01,,items,Item,New,Engine Type 1,,,,,
modEngine01Desc,,items,Item,New,Fuel Usage 20% \nMax Speed 200% \nTurbo 200%,,,,,
modEngine02,,items,Item,New,Engine Type 2
modEngine02Desc,,items,Item,New,Fuel Usage 30% \nMax Speed 300% \nTurbo 300%,,,,,
modEngine03,,items,Item,New,Engine Type 3,,,,,
modEngine03Desc,,items,Item,New,Fuel Usage 40% \nMax Speed 400% \nTurbo 400%,,,,,
modEngine04,,items,Item,New,Engine Type 4,,,,,
modEngine04Desc,,items,Item,New,Fuel Usage 50% \nMax Speed 500% \nTurbo 500%,,,,,

modEngine05,,items,Item,New,Gyro Engine,,,,,
modEngine05Desc,,items,Item,New,Only For the Gyro! \nFuel Usage 25% \nMax Speed 0% \nTurbo 500%,,,,,

modtank01,,items,Item,New,Fuel Tank,,,,,
modtank01Desc,,items,Item,New,Fuel Usage -50%,,,,,

modBike01,,items,Item,New,Bike Chains,,,,,
modBike01Desc,,items,Item,New,Only For the Bike! \nThis chain helps you go faster! \nMax Speed 0% \nTurbo 500%,,,,,





gunHandgunT0PipePistolEndless,,items,Item,New,Pipe Pistol Endless,,,,,
gunShotgunT0PipeShotgunEndless,,items,Item,New,Pipe Shotgun Endless,,,,,
gunRifleT0PipeRifleEndless,,items,Item,New,Pipe Rifle Endless,,,,,
gunMGT0PipeMachineGunEndless,,items,Item,New,Pipe Machine Gun Endless,,,,,


